4
10 20
1 2 1
2 3 1
3 4 1
4 5 1
5 6 1
6 7 1
7 8 1
8 9 1
9 10 1
1 10 1
1 2 2
2 3 2
3 4 2
4 5 2
5 6 2
6 7 2
7 8 2
8 9 2
9 10 2
1 10 2
20 40
1 2 1
2 3 1
3 4 1
4 5 1
5 1 1
6 7 1
7 8 1
8 9 1
9 10 1
10 6 1
11 12 1
12 13 1
13 14 1
14 15 1
15 11 1
16 17 1
17 18 1
18 19 1
19 20 1
20 16 1
1 2 2
2 3 2
3 4 2
4 5 2
5 1 2
6 7 2
7 8 2
8 9 2
9 10 2
10 6 2
11 12 2
12 13 2
13 14 2
14 15 2
15 11 2
16 17 2
17 18 2
18 19 2
19 20 2
20 16 2
30 60
1 2 1
2 3 1
3 4 1
4 5 1
5 6 1
6 7 1
7 8 1
8 9 1
9 10 1
10 1 1
11 12 1
12 13 1
13 14 1
14 15 1
15 16 1
16 17 1
17 18 1
18 19 1
19 20 1
20 11 1
21 22 1
22 23 1
23 24 1
24 25 1
25 26 1
26 27 1
27 28 1
28 29 1
29 30 1
30 21 1
1 2 2
2 3 2
3 4 2
4 5 2
5 6 2
6 7 2
7 8 2
8 9 2
9 10 2
10 1 2
11 12 2
12 13 2
13 14 2
14 15 2
15 16 2
16 17 2
17 18 2
18 19 2
19 20 2
20 11 2
21 22 2
22 23 2
23 24 2
24 25 2
25 26 2
26 27 2
27 28 2
28 29 2
29 30 2
30 21 2
50 150
1 2 1
2 3 1
3 4 1
4 5 1
5 6 1
6 7 1
7 8 1
8 9 1
9 10 1
10 11 1
11 12 1
12 13 1
13 14 1
14 15 1
15 16 1
16 17 1
17 18 1
18 19 1
19 20 1
20 21 1
21 22 1
22 23 1
23 24 1
24 25 1
25 1 1
26 27 1
27 28 1
28 29 1
29 30 1
30 31 1
31 32 1
32 33 1
33 34 1
34 35 1
35 36 1
36 37 1
37 38 1
38 39 1
39 40 1
40 41 1
41 42 1
42 43 1
43 44 1
44 45 1
45 26 1
46 47 1
47 48 1
48 49 1
49 50 1
50 46 1
1 2 2
2 3 2
3 4 2
4 5 2
5 6 2
6 7 2
7 8 2
8 9 2
9 10 2
10 11 2
11 12 2
12 13 2
13 14 2
14 15 2
15 16 2
16 17 2
17 18 2
18 19 2
19 20 2
20 21 2
21 22 2
22 23 2
23 24 2
24 25 2
25 1 2
26 27 2
27 28 2
28 29 2
29 30 2
30 31 2
31 32 2
32 33 2
33 34 2
34 35 2
35 36 2
36 37 2
37 38 2
38 39 2
39 40 2
40 41 2
41 42 2
42 43 2
43 44 2
44 45 2
45 26 2
46 47 2
47 48 2
48 49 2
49 50 2
50 46 2
1 26 1
26 46 1
1 26 2
26 46 2
10 30 1
30 40 1
10 30 2
30 40 2
15 35 1
35 48 1
15 35 2
35 48 2
20 40 1
20 40 2
25 45 1
25 45 2
5 25 1
5 25 2
12 32 1
12 32 2
18 38 1
18 38 2
22 42 1
22 42 2
8 28 1
8 28 2
14 34 1
14 34 2
3 23 1
3 23 2
7 27 1
7 27 2
11 31 1
11 31 2
16 36 1
16 36 2
21 41 1
21 41 2
6 47 1
6 47 2
13 33 1
13 33 2
19 39 1
19 39 2
24 44 1
24 44 2
9 29 1
9 29 2
17 37 1
17 37 2
4 49 1
4 49 2
